date,year,days_remaining,days_taken
"Tuesday, December 29, 1970",1970,3,362
"Monday, December 20, 1971",1971,12,353
"Saturday, December 9, 1972",1972,23,342
"Monday, November 26, 1973",1973,36,329
"Wednesday, November 27, 1974",1974,35,330
"Sunday, November 30, 1975",1975,32,333
"Tuesday, November 16, 1976",1976,46,319
"Thursday, November 10, 1977",1977,52,313
"Tuesday, November 7, 1978",1978,55,310
"Monday, October 29, 1979",1979,64,301
"Monday, November 3, 1980",1980,59,306
"Wednesday, November 11, 1981",1981,51,314
"Monday, November 15, 1982",1982,47,318
"Monday, November 14, 1983",1983,48,317
"Tuesday, November 06, 1984",1984,56,309
"Monday, November 4, 1985",1985,58,307
"Thursday, October 30, 1986",1986,63,302
"Friday, October 23, 1987",1987,70,295
"Saturday, October 15, 1988",1988,78,287
"Thursday, October 12, 1989",1989,81,284
"Thursday, October 11, 1990",1990,82,283
"Thursday, October 10, 1991",1991,83,282
"Tuesday, October 13, 1992",1992,80,285
"Wednesday, October 13, 1993",1993,80,285
"Tuesday, October 11, 1994",1994,82,283
"Thursday, October 05, 1995",1995,88,277
"Wednesday, October 2, 1996",1996,91,274
"Tuesday, September 30, 1997",1997,93,272
"Wednesday, September 30, 1998",1998,93,272
"Thursday, September 30, 1999",1999,93,272
"Saturday, September 23, 2000",2000,100,265
"Saturday, September 22, 2001",2001,101,264
"Thursday, September 19, 2002",2002,104,261
"Tuesday, September 09, 2003",2003,114,251
"Wednesday, September 1, 2004",2004,122,243
"Friday, August 26, 2005",2005,128,237
"Sunday, August 20, 2006",2006,134,231
"Tuesday, August 14, 2007",2007,140,225
"Friday, August 15, 2008",2008,139,226
"Wednesday, August 19, 2009",2009,135,230
"Sunday, August 08, 2010",2010,146,219
"Thursday, August 04, 2011",2011,150,215
"Saturday, August 04, 2012",2012,150,215
"Sunday, August 04, 2013",2013,150,215
"Tuesday, August 05, 2014",2014,149,216
"Thursday, August 06, 2015",2015,148,217
"Friday, August 05, 2016",2016,149,216
"Thursday, August 03, 2017",2017,151,214
"Wednesday, August 01, 2018",2018,153,212
"Monday, July 29, 2019",2019,156,209